iter	Passed	Remaining
457	818	969
458	820	966
459	820	963
460	821	960
461	822	957
462	823	954
463	823	951
464	824	948
465	825	945
466	826	942
467	827	940
468	831	941
469	832	939
470	834	937
471	836	935
472	837	932
473	837	929
474	838	927
475	839	924
476	840	921
477	841	918
478	841	915
479	842	912
480	845	912
481	846	909
482	847	906
483	848	904
484	848	901
485	849	898
486	850	896
487	851	893
488	852	890
489	853	888
490	853	885
491	854	882
492	859	883
493	860	881
494	861	879
495	862	876
496	863	874
497	864	871
498	865	868
499	866	866
500	866	863
501	867	860
502	868	858
503	869	855
504	874	856
505	875	854
506	876	852
507	877	849
508	878	847
509	879	845
510	880	842
511	881	839
512	882	837
513	883	834
514	883	832
515	884	829
516	890	831
517	891	829
518	892	826
519	893	824
520	894	821
521	895	819
522	896	817
523	896	814
524	897	812
525	898	809
526	898	806
527	899	804
528	906	806
529	907	804
530	908	802
531	909	800
532	910	798
533	911	795
534	912	793
535	913	790
536	913	787
537	914	785
538	915	782
539	919	783
540	920	781
541	921	778
542	922	776
543	923	773
544	923	771
545	924	768
546	925	766
547	925	763
548	926	761
549	927	758
550	928	756
551	928	753
552	929	751
553	934	752
554	935	750
555	936	748
556	937	745
557	938	743
558	939	741
559	940	738
560	941	736
561	941	733
562	942	731
563	943	729
564	943	726
565	944	724
566	945	721
567	949	721
568	951	720
569	952	718
570	952	715
571	953	713
572	954	711
573	955	708
574	955	706
575	956	704
576	957	701
577	958	699
578	958	697
579	959	694
580	960	692
581	965	693
582	966	691
583	967	689
584	969	687
585	970	685
586	971	683
587	972	681
588	973	679
589	974	677
590	975	675
591	981	676
592	982	674
593	982	671
594	983	669
595	984	667
596	985	665
597	985	662
598	986	660
599	987	658
600	988	656
601	989	653
602	989	651
603	990	649
604	995	649
605	996	647
606	997	645
607	998	643
608	999	641
609	1000	639
610	1000	637
611	1001	635
612	1002	632
613	1003	630
614	1003	628
615	1004	626
616	1005	624
617	1007	622
618	1007	620
619	1008	618
620	1009	616
621	1010	613
622	1010	611
623	1011	609
624	1012	607
625	1013	605
626	1013	603
627	1014	601
628	1015	598
629	1016	596
630	1016	594
631	1017	592
632	1022	592
633	1023	591
634	1024	589
635	1026	587
636	1027	585
637	1028	583
638	1028	581
639	1030	579
640	1031	577
641	1032	575
642	1038	576
643	1039	574
644	1040	572
645	1041	570
646	1042	568
647	1043	566
648	1044	564
649	1044	562
650	1045	560
651	1046	558
652	1051	558
653	1053	557
654	1055	555
655	1056	554
656	1058	552
657	1058	550
658	1059	548
659	1060	546
660	1060	544
661	1062	542
662	1069	543
663	1071	541
664	1073	541
665	1074	539
666	1076	537
667	1078	536
668	1084	536
669	1085	534
670	1086	532
671	1088	531
672	1089	529
673	1089	527
674	1090	525
675	1091	523
676	1092	521
677	1093	519
678	1097	518
679	1098	516
680	1099	514
681	1099	512
682	1100	510
683	1101	508
684	1102	506
685	1102	504
686	1103	502
687	1104	500
688	1104	498
689	1105	496
690	1106	494
691	1106	492
692	1107	490
693	1108	488
694	1113	488
695	1115	487
696	1115	485
697	1116	483
698	1117	481
699	1118	479
700	1118	477
701	1119	475
702	1120	473
703	1121	471
704	1122	469
705	1123	467
706	1123	465
707	1127	465
708	1129	463
709	1130	461
710	1131	459
711	1132	458
712	1133	456
713	1134	454
714	1134	452
715	1135	450
716	1136	448
717	1137	446
718	1138	444
719	1143	444
720	1145	443
721	1146	441
722	1147	439
723	1148	437
724	1150	436
725	1152	434
726	1161	436
727	1162	434
728	1163	432
729	1175	434
730	1177	433
731	1179	431
732	1180	429
733	1181	428
734	1182	426
735	1183	424
736	1184	422
737	1185	421
738	1187	419
739	1189	417
740	1190	415
741	1191	414
742	1195	413
743	1197	411
744	1197	410
745	1198	408
746	1199	406
747	1200	404
748	1201	402
749	1202	400
750	1202	398
751	1203	396
752	1204	394
753	1204	393
754	1205	391
755	1206	389
756	1207	387
757	1208	385
758	1209	384
759	1211	382
760	1212	380
761	1213	379
762	1214	377
763	1215	375
764	1216	373
765	1217	372
766	1224	371
767	1225	370
768	1226	368
769	1227	366
770	1228	364
771	1228	362
772	1229	361
773	1230	359
774	1230	357
775	1231	355
776	1232	353
777	1233	351
778	1239	351
779	1240	349
780	1241	348
781	1242	346
782	1242	344
783	1243	342
784	1244	340
785	1245	339
786	1245	337
787	1246	335
788	1247	333
789	1248	331
790	1250	330
791	1251	328
792	1253	327
793	1254	325
794	1254	323
795	1255	321
796	1256	319
797	1256	318
798	1257	316
799	1258	314
800	1259	312
801	1260	311
802	1264	310
803	1265	308
804	1270	307
805	1271	306
806	1272	304
807	1273	302
808	1273	300
809	1274	298
810	1275	297
811	1276	295
812	1280	294
813	1281	292
814	1282	291
815	1283	289
816	1283	287
817	1284	285
818	1285	284
819	1286	282
820	1286	280
821	1287	278
822	1288	277
823	1289	275
824	1290	273
825	1291	271
826	1292	270
827	1293	268
828	1294	267
829	1295	265
830	1296	263
831	1297	261
832	1298	260
833	1298	258
834	1299	256
835	1300	255
836	1301	253
837	1301	251
838	1302	249
839	1303	248
840	1308	247
841	1309	245
842	1310	244
843	1311	242
844	1312	240
845	1312	238
846	1313	237
847	1314	235
848	1314	233
849	1315	232
850	1316	230
851	1317	228
852	1317	227
853	1318	225
854	1322	224
855	1323	222
856	1324	221
857	1326	219
858	1327	217
859	1328	216
860	1329	214
861	1329	212
862	1330	211
863	1331	209
864	1331	207
865	1332	206
866	1333	204
867	1337	203
868	1338	201
869	1338	200
870	1339	198
871	1340	196
872	1340	195
873	1341	193
874	1342	191
875	1343	190
876	1344	188
877	1345	186
878	1346	185
879	1347	183
880	1347	182
881	1348	180
882	1353	179
883	1354	177
884	1355	176
885	1356	174
886	1357	172
887	1358	171
888	1358	169
889	1359	168
890	1360	166
891	1360	164
892	1361	163
893	1362	161
894	1362	159
895	1366	158
896	1368	157
897	1369	155
898	1369	153
899	1370	152
900	1371	150
901	1372	149
902	1372	147
903	1373	145
904	1374	144
905	1375	142
906	1376	141
907	1376	139
908	1377	137
909	1378	136
910	1379	134
911	1380	133
912	1383	131
913	1384	130
914	1385	128
915	1386	127
916	1386	125
917	1387	123
918	1388	122
919	1388	120
920	1389	119
921	1390	117
922	1394	116
923	1395	114
924	1396	113
925	1397	111
926	1398	110
927	1398	108
928	1399	106
929	1400	105
930	1401	103
931	1401	102
932	1402	100
933	1403	99
934	1404	97
935	1404	96
936	1405	94
937	1410	93
938	1411	91
939	1413	90
940	1414	88
941	1416	87
942	1417	85
943	1418	84
944	1419	82
945	1423	81
946	1425	79
947	1427	78
948	1428	76
949	1429	75
950	1430	73
951	1432	72
952	1433	70
953	1435	69
954	1440	67
955	1442	66
956	1443	64
957	1444	63
958	1446	61
959	1446	60
960	1447	58
961	1448	57
962	1449	55
963	1449	54
964	1450	52
965	1455	51
966	1457	49
967	1458	48
968	1459	46
969	1459	45
970	1460	43
971	1461	42
972	1462	40
973	1462	39
974	1463	37
975	1464	36
976	1465	34
977	1469	33
978	1470	31
979	1471	30
980	1472	28
981	1472	26
982	1473	25
983	1474	23
984	1475	22
985	1475	20
986	1476	19
987	1477	17
988	1478	16
989	1479	14
990	1479	13
991	1480	11
992	1481	10
993	1484	8
994	1485	7
995	1486	5
996	1487	4
997	1487	2
998	1488	1
999	1489	0
